турнир;Дата;Хозяева;Гости
APL;2021-08-13;Brentford;Arsenal
APL;2021-08-14;Manchester Utd;Leeds Utd
APL;2021-08-14;Burnley;Brighton
APL;2021-08-14;Chelsea;Crystal Palace
APL;2021-08-14;Everton;Southampton
APL;2021-08-14;Leicester City;Wolverhampton
APL;2021-08-14;Watford;Aston Villa
APL;2021-08-14;Norwich City;Liverpool
APL;2021-08-15;Newcastle Utd;West Ham Utd
APL;2021-08-15;Tottenham;Manchester City
APL;2021-08-21;Liverpool;Burnley
APL;2021-08-21;Aston Villa;Newcastle Utd
APL;2021-08-21;Crystal Palace;Brentford
APL;2021-08-21;Leeds Utd;Everton
APL;2021-08-21;Manchester City;Norwich City
APL;2021-08-21;Brighton;Watford
APL;2021-08-22;Southampton;Manchester Utd
APL;2021-08-22;Wolverhampton;Tottenham
APL;2021-08-22;Arsenal;Chelsea
APL;2021-08-23;West Ham Utd;Leicester City
APL;2021-08-28;Manchester City;Arsenal
APL;2021-08-28;Aston Villa;Brentford
APL;2021-08-28;Brighton;Everton
APL;2021-08-28;Newcastle Utd;Southampton
APL;2021-08-28;Norwich City;Leicester City
APL;2021-08-28;West Ham Utd;Crystal Palace
APL;2021-08-28;Liverpool;Chelsea
APL;2021-08-29;Burnley;Leeds Utd
APL;2021-08-29;Tottenham;Watford
APL;2021-08-29;Wolverhampton;Manchester Utd
APL;2021-09-11;Crystal Palace;Tottenham
APL;2021-09-11;Arsenal;Norwich City
APL;2021-09-11;Brentford;Brighton
APL;2021-09-11;Leicester City;Manchester City
APL;2021-09-11;Manchester Utd;Newcastle Utd
APL;2021-09-11;Southampton;West Ham Utd
APL;2021-09-11;Watford;Wolverhampton
APL;2021-09-11;Chelsea;Aston Villa
APL;2021-09-12;Leeds Utd;Liverpool
APL;2021-09-13;Everton;Burnley
APL;2021-09-17;Newcastle Utd;Leeds Utd
APL;2021-09-18;Wolverhampton;Brentford
APL;2021-09-18;Burnley;Arsenal
APL;2021-09-18;Liverpool;Crystal Palace
APL;2021-09-18;Manchester City;Southampton
APL;2021-09-18;Norwich City;Watford
APL;2021-09-18;Aston Villa;Everton
APL;2021-09-19;Brighton;Leicester City
APL;2021-09-19;West Ham Utd;Manchester Utd
APL;2021-09-19;Tottenham;Chelsea
APL;2021-09-25;Chelsea;Manchester City
APL;2021-09-25;Manchester Utd;Aston Villa
APL;2021-09-25;Everton;Norwich City
APL;2021-09-25;Leeds Utd;West Ham Utd
APL;2021-09-25;Leicester City;Burnley
APL;2021-09-25;Watford;Newcastle Utd
APL;2021-09-25;Brentford;Liverpool
APL;2021-09-26;Southampton;Wolverhampton
APL;2021-09-26;Arsenal;Tottenham
APL;2021-09-27;Crystal Palace;Brighton
APL;2021-10-02;Manchester Utd;Everton
APL;2021-10-02;Burnley;Norwich City
APL;2021-10-02;Chelsea;Southampton
APL;2021-10-02;Leeds Utd;Watford
APL;2021-10-02;Wolverhampton;Newcastle Utd
APL;2021-10-02;Brighton;Arsenal
APL;2021-10-03;Crystal Palace;Leicester City
APL;2021-10-03;Tottenham;Aston Villa
APL;2021-10-03;West Ham Utd;Brentford
APL;2021-10-03;Liverpool;Manchester City
APL;2021-10-16;Watford;Liverpool
APL;2021-10-16;Aston Villa;Wolverhampton
APL;2021-10-16;Leicester City;Manchester Utd
APL;2021-10-16;Manchester City;Burnley
APL;2021-10-16;Norwich City;Brighton
APL;2021-10-16;Southampton;Leeds Utd
APL;2021-10-16;Brentford;Chelsea
