страна;наименование
England;Arsenal
England;Aston Villa
England;Brentford
England;Brighton
England;Burnley
England;Chelsea
England;Crystal Palace
England;Everton
England;Leeds Utd
England;Leicester City
England;Liverpool
England;Manchester City
England;Manchester Utd
England;Newcastle Utd
England;Norwich City
England;Southampton
England;Tottenham
England;Watford
England;West Ham Utd
England;Wolverhampton
Germany;Bayern Munich
Germany;Bielefeld
Germany;Bochum
Germany;Dortmund
Germany;E. Frankfurt
Germany;FC Augsburg
Germany;FC Koln
Germany;Freiburg
Germany;FSV Mainz
Germany;Greuther Furth
Germany;Hertha Berlin
Germany;Hoffenheim
Germany;Leverkusen
Germany;Monchengladbach
Germany;RB Leipzig
Germany;Stuttgart
Germany;Union Berlin
Germany;Wolfsburg
Russia;Akhmat Grozny
Russia;Arsenal Tula
Russia;CSKA Moscow
Russia;Dinamo Moscow
Russia;FC Krasnodar
Russia;Khimki
Russia;Krylya Sovetov
Russia;Lokomotiv M.
Russia;Nizhny Novgorod
Russia;PFC Sochi
Russia;Rostov
Russia;Rubin Kazan
Russia;Spartak Moscow
Russia;Ufa
Russia;Ural
Russia;Zenit
Spain;Real Madrid
Spain;FC Barcelona
Spain;Sevilla FC
Spain;Atletico Madrid
Spain;Real Betis
Spain;Real Sociedad
Spain;Villarreal
Spain;Athletic Bilbao
Spain;Osasuna
Spain;Valencia
Spain;Espanyol
Spain;Celta Vigo
Spain;Elche
Spain;Rayo Vallecano
Spain;Getafe
Spain;Granada
Spain;Mallorca
Spain;Cadiz
Spain;Levante
Spain;Alaves
France;Paris SG
France;Marseille
France;Rennes
France;Nice
France;Strasbourg
France;Monaco
France;Lens
France;Lyon
France;Lille
France;Nantes
France;Montpellier
France;Brest
France;Reims
France;Angers
France;Troyes
France;Lorient
France;Saint-Etienne
France;Clermont
France;Bordeaux
France;Metz
